"eventid","iyear","imonth","iday","provstate","city","latitude","longitude","summary","attacktype1_txt","targtype1_txt","nkill","date"
201602200005,2016,2,20,"Baghdad","Baghdad",33.305116,44.488941,"02/20/2016: An explosive device detonated near shops in Al-Alf Dar neighborhood, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and four others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Business",2,"2/20/2016"
201602200006,2016,2,20,"Diyala","Madain",33.099815,44.583263,"02/20/2016: An explosive device detonated near a soccer field in Madain, Diyala governorate, Iraq. At least one person was killed and eight others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Private Citizens & Property",1,"2/20/2016"
201602200008,2016,2,20,"Babil","Yusufiyah",33.079157,44.253091,"02/20/2016: An explosive device detonated in Yusufiyah, Babil governorate, Iraq. At least one person was killed and three others were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.","Bombing/Explosion","Private Citizens & Property",1,"2/20/2016"
201602200009,2016,2,20,"Baghdad","Baghdad",33.31088,44.240095,"02/20/2016: Approximately 30 explosive devices were discovered and defused in western Baghdad city, Baghdad governorate, Iraq. No group claimed responsibility for the attack.","Bombing/Explosion","Unknown",0,"2/20/2016"
201602200021,2016,2,20,"Baghdad","Baghdad",33.354401,44.319053,"02/20/2016: Assailants opened fire on an Iraqi Police Service (IPS) patrol in Hurriya neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one officer was killed in the assault. No group claimed responsibility for the attack.","Armed Assault","Police",1,"2/20/2016"
201602200023,2016,2,20,"Al Anbar","Amiriyat al-Fallujah",33.164486,43.864934,"02/20/2016: Security forces identified and killed four suicide bombers driving explosives-laden vehicles before they could detonate near Amiriyat al-Fallujah, Al Anbar governorate, Iraq. This was one of two suicide bombings in and around Amiriyat al-Fallujah on the same day. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attacks.","Bombing/Explosion","Private Citizens & Property",4,"2/20/2016"
201602200024,2016,2,20,"Al Anbar","Amiriyat al-Fallujah",33.164152,43.864965,"02/20/2016: A suicide bomber detonated an explosives-laden vehicle near Iraqi Armed Forces soldiers in Amiriyat al-Fallujah, Al Anbar governorate, Iraq. In addition to the bomber, at least 13 soldiers were killed in the blast. This was one of two suicide bombings in and around Amiriyat al-Fallujah on the same day. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attacks.","Bombing/Explosion","Military",14,"2/20/2016"
201602210023,2016,2,21,"Babil","Latifiyah",32.984942,44.35677,"02/21/2016: An explosive device detonated near an Iraqi Army patrol in Latifiyah, Babil governorate, Iraq. At least one soldier was killed and three others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Military",1,"2/21/2016"
201602210024,2016,2,21,"Kirkuk","Hawijah district",35.319618,43.747998,"02/21/2016: An explosive device detonated near a fleeing family in Hawijah district, Kirkuk, Iraq. At least one person was killed and five others were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Private Citizens & Property",1,"2/21/2016"
201602210025,2016,2,21,"Saladin","Hamamiyat",33.499136,44.21855,"02/21/2016: An explosive device detonated in Hamamiyat, Saladin governorate, Iraq. At least two people were killed and seven others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Private Citizens & Property",2,"2/21/2016"
201602210030,2016,2,21,"Al Anbar","Ramadi district",33.390952,42.845427,"02/21/2016: Security forces identified and killed five suicide bombers driving explosives-laden vehicles before they could detonate near Federal Police officers in Ramadi district, Al Anbar governorate, Iraq. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Police",5,"2/21/2016"
201602210039,2016,2,21,"Al Anbar","Ramadi district",33.401492,42.903514,"02/21/2016: Multiple explosive devices were discovered and defused in Ramadi district, Al Anbar governorate, Iraq. No group claimed responsibility for the attack.","Bombing/Explosion","Unknown",0,"2/21/2016"
201602210040,2016,2,21,"Saladin","Leine",34.192941,43.889519,"02/21/2016: Multiple explosive devices were discovered and defused in Leine, Saladin governorate, Iraq. No group claimed responsibility for the attack.","Bombing/Explosion","Unknown",0,"2/21/2016"
201602210041,2016,2,21,"Baghdad","Baghdad",33.277658,44.329536,"02/21/2016: Assailants shot and killed a civilian in Amil neighborhood, Baghdad city, Baghdad governorate, Iraq. No group claimed responsibility for the attack.","Armed Assault","Private Citizens & Property",1,"2/21/2016"
201602220020,2016,2,22,"Baghdad","Baghdad",33.268336,44.344872,"02/22/2016: An explosive device detonated near shops in Bayaa neighborhood, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and eight others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Business",2,"2/22/2016"
201602220021,2016,2,22,"Baghdad","Baghdad",33.310576,44.302816,"02/22/2016: An explosive device detonated at the at the Al-Amiriyah crossroads in Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Private Citizens & Property",1,"2/22/2016"
201602220022,2016,2,22,"Baghdad","Baghdad",33.298776,44.422927,"02/22/2016: An explosive device attached to a government employee vehicle detonated in Karada neighborhood, Baghdad city, Baghdad governorate, Iraq. The owner of the vehicle was killed in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Government (General)",1,"2/22/2016"
201602220023,2016,2,22,"Diyala","Dariyah",33.084484,44.622019,"02/22/2016: An explosive device detonated near a bus transporting Iraqi Ministry of Electricity employees in Dariyah, Diyala governorate, Iraq. At least two employees were killed and five others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Government (General)",2,"2/22/2016"
201602220024,2016,2,22,"Baghdad","Baghdad",33.423265,44.40164,"02/22/2016: An explosive device detonated at Shallal Market in Shaab neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Private Citizens & Property",1,"2/22/2016"
201602220025,2016,2,22,"Baghdad","Baghdad",33.312769,44.361616,"02/22/2016: An explosive device detonated near shops in Al-Bakriyah neighborhood, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Business",2,"2/22/2016"
201602220027,2016,2,22,"Al Anbar","Zanqurah",33.522074,43.098413,"02/22/2016: Assailants attacked an Iraqi Army headquarters in Zanqurah, Al Anbar governorate, Iraq. At least 15 assailants were killed in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).","Unknown","Military",15,"2/22/2016"
201602220028,2016,2,22,"Al Anbar","Hamidhiyah",33.456763,43.394594,"02/22/2016: A suicide bomber detonated an explosives-laden vehicle and additional assailants attacked an Iraqi Armed Forces base in Hamidhiyah, Al Anbar governorate, Iraq. At least 47 people, including six soldiers and 41 assailants, were killed and 10 other soldiers and an unknown number of assailants were injured in the blast and the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Military",47,"2/22/2016"
201602220029,2016,2,22,"Nineveh","Duwayzat",35.929389,43.346223,"02/22/2016: An explosive device detonated near Iraqi Volunteer Forces members in Duwayzat, Nineveh governorate, Iraq. At least four members, including the son of a commander, were killed and three others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Terrorists/Non-State Militia",4,"2/22/2016"
201602220030,2016,2,21,"Diyala","Baqubah",33.750505,44.646134,"02/21/2016: An explosive device attached to the vehicle of Colonel Halid al-Karkhi detonated in Baqubah, Diyala governorate, Iraq. At least two people, including al-Karkhi, the Iraqi Police Service (IPS) commander, and one of his guards, were killed in the blast. No group claimed responsibility for the attack.","Assassination","Police",2,"2/21/2016"
201602230017,2016,2,23,"Babil","Yusufiyah",33.079133,44.25306,"02/23/2016: An explosive device detonated near a produce shop in Yusufiyah, Babil, Iraq. At least one person was killed and nine people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/23/2016"
